title,authors,average_rating,num_pages,ratings_count,text_reviews_count,publisher,publication_year,editions_by_work,work_ratings_count,author_ratings_count,publisher_ratings_count,cross_publisher_author_ratings_count,is_series,engagement,subjects_d1,subjects_d2,people_d1,people_d2,places_d1,places_d2,times_d1,times_d2,lang_en-GB,lang_en-US,lang_eng,lang_fre,lang_ger,lang_others,lang_spa
The Dogs of Riga (Kurt Wallander  #2),Henning Mankell,3.72,326,17060,1016,Vintage Crime/Black Lizard,2004.0,1.0,17060.0,84512,113935,45938,1,0.05955451348182884,-3.2979548,-8.401782,0.0,0.0,-8.578047,5.1456146,0.0,0.0,0,0,1,0,0,0,0
Sidetracked (Kurt Wallander  #5),Henning Mankell,4.07,432,15178,574,Vintage Crime/Black Lizard,2003.0,1.0,15178.0,84512,113935,45938,1,0.037817894320727366,-3.2372622,-8.404731,0.0,0.0,-8.565093,5.1240997,0.0,0.0,0,0,1,0,0,0,0
The Return of the Dancing Master,Henning Mankell,3.91,406,5341,314,Vintage Crime/Black Lizard,2005.0,1.0,5341.0,84512,113935,45938,0,0.05879048867253323,-3.258596,-8.404444,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
Shoot the Piano Player,David Goodis,4.02,158,2768,143,Vintage Crime/Black Lizard,1990.0,1.0,2768.0,3552,113935,2768,0,0.05166184971098266,-2.71863,-8.191677,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
I am Charlotte Simmons,Tom Wolfe,3.42,738,20888,1688,Picador USA,2005.0,1.0,20888.0,23688,1141802,20888,0,0.08081194944465722,-2.2142076,-4.785844,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Mason & Dixon,Thomas Pynchon,4.07,773,8086,602,Picador USA,2004.0,1.0,8086.0,123920,1141802,8086,0,0.07444966608953747,-3.949885,-5.4190884,-20.878563,18.025906,-0.008979741,2.9252608,-11.202756,31.327866,0,0,1,0,0,0,0
Specimen Days,Michael Cunningham,3.58,336,4462,446,Picador USA,2006.0,1.0,4462.0,19231,1141802,4462,0,0.09995517705064993,-2.5291448,-5.172418,0.0,0.0,17.38184,-17.177254,0.0,0.0,0,0,1,0,0,0,0
Middlesex,Jeffrey Eugenides,4.0,529,540349,19548,Picador USA,2003.0,2.0,541430.0,541430,1141802,540349,0,0.03617661918500821,-2.455963,-4.6338525,0.0,0.0,7.982134,-9.760672,0.0,0.0,0,0,1,0,0,0,0
The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,639,165862,9143,Picador USA,2001.0,1.0,165862.0,242701,1141802,165862,0,0.05512413934475648,-0.96675956,0.1602718,0.0,0.0,17.428555,-17.217333,-22.494656,26.481756,0,0,1,0,0,0,0
Catfish and Mandala: A Two-Wheeled Voyage Through the Landscape and Memory of Vietnam,Andrew X. Pham,3.96,344,4820,524,Picador USA,2000.0,1.0,4820.0,4820,1141802,4820,0,0.1087136929460581,-2.1025605,-4.0041423,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande,4.26,270,33828,2237,Picador USA,2003.0,1.0,33828.0,33828,1141802,33828,0,0.06612865082180443,-6.589112,-5.7679296,-23.389587,13.9495945,-24.501604,6.0290823,0.0,0.0,0,0,1,0,0,0,0
A Bend in the River,V.S. Naipaul,3.77,326,13147,690,Picador USA,2002.0,1.0,13147.0,17401,1141802,13147,0,0.0524834563018179,-3.7942374,-5.0153456,0.0,0.0,-15.945399,7.8128314,0.0,0.0,0,0,1,0,0,0,0
Pardonable Lies (Maisie Dobbs  #3),Jacqueline Winspear,4.09,359,23318,1704,Picador USA,2006.0,1.0,23318.0,23318,1141802,23318,1,0.07307659318981044,-4.5820613,-5.5912304,0.0,0.0,12.002319,6.2136045,0.0,0.0,0,0,1,0,0,0,0
So Long  and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy  #4),Douglas Adams,4.09,167,93997,1394,Picador USA,2002.0,1.0,93997.0,624177,1141802,97112,1,0.014830260540230008,1.7048965,-3.527025,-15.070275,12.9538965,0.084187225,0.27062672,0.0,0.0,0,0,1,0,0,0,0
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,180,3115,306,Picador USA,2002.0,6.0,12613.0,624177,1141802,97112,1,0.09823434991974318,1.7138647,-3.492058,-15.052987,12.951765,0.06867109,0.23057362,0.0,0.0,0,0,1,0,0,0,0
The Last of Her Kind,Sigrid Nunez,3.72,391,1459,242,Picador USA,2006.0,1.0,1459.0,2081,1141802,1459,0,0.1658670322138451,-1.4250454,-5.19424,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch,4.24,356,24862,1443,Picador USA,1999.0,1.0,24862.0,24862,1141802,24862,0,0.05804038291368353,-6.5943446,-4.748361,0.0,0.0,-18.353283,7.401386,-22.12761,27.000956,0,0,1,0,0,0,0
The Paris Review Interviews  I: 16 Celebrated Interviews,The Paris Review,4.37,510,866,103,Picador USA,2006.0,1.0,866.0,866,1141802,866,0,0.11893764434180139,-6.7128105,-3.4361453,0.0,0.0,0.0,0.0,3.4460797,-9.992275,0,0,1,0,0,0,0
Housekeeping,Marilynne Robinson,3.82,219,34723,4489,Picador USA,2004.0,1.0,34723.0,34723,1141802,34723,0,0.12928030412118768,-2.8685446,-4.7453713,0.0,0.0,-18.435843,7.7435527,0.0,0.0,0,0,1,0,0,0,0
The Twenty-Seventh City,Jonathan Franzen,3.12,528,3621,330,Picador USA,2001.0,1.0,3621.0,146118,1141802,3621,0,0.09113504556752279,-3.7201505,-5.3916607,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
White Man's Grave,Richard Dooling,3.94,400,367,48,Picador USA,1995.0,1.0,367.0,367,1141802,367,0,0.1307901907356948,-2.384375,-5.9768925,0.0,0.0,-16.050287,8.052549,0.0,0.0,0,0,1,0,0,0,0
A Yellow Raft in Blue Water,Michael Dorris,3.86,372,16190,897,Picador USA,2003.0,1.0,16190.0,16190,1141802,16190,0,0.055404570722668314,-2.2568552,-5.0188155,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
Birds of America,Lorrie Moore,4.11,291,12321,951,Picador USA,1999.0,1.0,12321.0,18818,1141802,12321,0,0.07718529340150962,-3.8781986,-3.7902162,0.0,0.0,-24.624903,6.713297,2.803513,-10.01826,0,0,1,0,0,0,0
Blood Meridian,Cormac McCarthy,4.17,335,539,62,Picador USA,2007.0,2.0,1803.0,757447,1141802,539,0,0.1150278293135436,-1.5895965,-4.64279,0.0,0.0,-16.06985,5.9334936,0.0,0.0,0,0,1,0,0,0,0
Behind the Scenes at the Museum,Kate Atkinson,3.96,336,26443,2116,Picador USA,1999.0,1.0,26443.0,106069,1141802,26443,0,0.0800211776273494,-2.4916918,-4.9640017,0.0,0.0,13.100736,7.4402046,0.0,0.0,0,0,1,0,0,0,0
Dry,Augusten Burroughs,4.03,293,77100,3112,Picador USA,2004.0,2.0,78258.0,79100,1141802,77100,0,0.040363164721141376,-7.034126,-6.2883825,-22.956348,14.044439,3.6103208,0.182851,3.1320114,-9.385524,0,0,1,0,0,0,0
The Real Frank Zappa Book,Frank Zappa,4.13,352,4934,223,Picador USA,1990.0,1.0,4934.0,4934,1141802,4934,0,0.04519659505472234,0.0,0.0,-23.5738,16.087488,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Sign of the Cross: Travels in Catholic Europe,Colm Tóibín,3.8,243,23,7,Picador USA,2001.0,1.0,23.0,12550,1141802,23,0,0.30434782608695654,-9.52452,-4.682475,-21.50052,14.192955,-17.859287,10.231872,0.0,0.0,0,0,1,0,0,0,0
Small Island,Andrea Levy,3.95,441,21165,1145,Picador USA,2005.0,1.0,21165.0,21813,1141802,21165,0,0.0540987479329081,-3.7823045,-5.5145917,0.0,0.0,12.019631,6.229877,3.8601608,-9.175205,0,0,1,0,0,0,0
Saints at the River,Ron Rash,3.81,239,2967,335,Picador USA,2005.0,1.0,2967.0,5866,1141802,5110,0,0.11290866194809572,-1.833107,-5.624792,0.0,0.0,-0.21623574,7.2595806,0.0,0.0,0,0,1,0,0,0,0
The World Made Straight,Ron Rash,3.87,289,2143,254,Picador USA,2007.0,1.0,2143.0,5866,1141802,5110,0,0.11852543163789081,-2.799232,-4.9232163,0.0,0.0,-0.21951793,7.261499,1.2885923,27.358505,0,0,1,0,0,0,0
Serious Girls,Maxine Swann,3.2,240,207,28,Picador USA,2004.0,1.0,207.0,207,1141802,207,0,0.13526570048309178,-3.594906,-6.2691526,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Poetry for Young People: Edward Lear,Edward Lear,3.91,48,66,19,Sterling,2001.0,1.0,66.0,137,16601,66,0,0.2878787878787879,-6.9896827,0.31428292,-23.699337,14.4833975,27.184078,12.113634,23.369772,-6.114255,0,0,1,0,0,0,0
Little Women (Little Women  #1),Louisa May Alcott,4.07,536,1395,131,Sterling,2004.0,5.0,1481833.0,1538891,16601,1395,1,0.0939068100358423,-2.463224,-3.8376806,-23.756618,14.720755,9.240194,12.37396,1.3510785,27.301159,0,0,1,0,0,0,0
The Secret Garden,Martha Hailey DuBose,4.33,160,1653,76,Sterling,2005.0,1.0,1653.0,1653,16601,1653,0,0.04597701149425287,-2.0852647,-3.033297,0.0,0.0,13.080164,7.417615,-19.41551,30.148764,0,0,1,0,0,0,0
The Easy Way to Stop Smoking: Join the Millions Who Have Become Nonsmokers Using the Easyway Method,Allen Carr,4.3,224,3510,510,Sterling,2004.0,1.0,3510.0,3510,16601,3510,0,0.1452991452991453,-9.258174,-6.097999,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Gulliver's Travels,Martin Woodside,3.97,160,933,26,Sterling,2006.0,1.0,933.0,933,16601,933,0,0.027867095391211148,-0.8314966,-2.393116,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Black Beauty,Anna Sewell,3.96,208,738,74,Sterling,2004.0,1.0,738.0,209490,16601,738,0,0.1002710027100271,-1.1211714,-1.7689239,0.0,0.0,0.0,0.0,-22.088242,26.740355,0,1,0,0,0,0,0
Treasure Island,Chris Tait,3.83,160,798,39,Sterling,2005.0,1.0,798.0,798,16601,798,0,0.04887218045112782,-1.2752231,-2.6880605,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Adventures of Huckleberry Finn,Mark Twain,3.82,305,364,27,Sterling,2006.0,8.0,1053374.0,1792218,16601,1871,0,0.07417582417582418,-2.2837706,-3.8189936,-17.249857,16.305002,2.1451344,-0.8858014,23.222677,-6.107571,0,0,1,0,0,0,0
The Adventures of Tom Sawyer (Adventures of Tom and Huck  #1),Mark Twain,3.91,224,1507,105,Sterling,2004.0,3.0,669210.0,1792218,16601,1871,1,0.0696748506967485,-2.28852,-3.765557,-17.311876,16.30596,2.176032,-0.8697559,18.35936,0.85899156,0,0,1,0,0,0,0
The Red Badge of Courage (Classic Starts),Oliver Ho,3.86,160,59,7,Sterling,2006.0,1.0,59.0,573,16601,59,0,0.11864406779661017,-6.03673,-4.954011,0.0,0.0,-24.279493,6.518127,1.2946472,27.352297,0,0,1,0,0,0,0
The Secret Garden,Frances Hodgson Burnett,4.13,248,575,61,Sterling,2004.0,3.0,1346.0,1005911,16601,1075,0,0.10608695652173913,-2.0534256,-3.0247328,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
A Little Princess,Frances Hodgson Burnett,4.2,208,500,54,Sterling,2004.0,2.0,238692.0,1005911,16601,1075,0,0.108,-1.9862057,-2.5665548,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
A Little Princess,Tania Zamorsky,4.16,160,3784,84,Sterling,2005.0,1.0,3784.0,3784,16601,3784,0,0.022198731501057084,-2.0043259,-2.5523493,0.0,0.0,-17.419703,4.5564775,23.17623,-5.9429607,0,0,1,0,0,0,0
White Fang,Kathleen Olmstead,4.24,160,713,31,Sterling,2006.0,1.0,713.0,713,16601,713,0,0.043478260869565216,-2.7364666,-2.6282997,0.0,0.0,13.85634,14.734678,0.0,0.0,0,1,0,0,0,0,0
Treasure Island #2: Off to Sea (Easy Reader Classics),Catherine Nichols,4.17,32,6,0,Sterling,2006.0,1.0,6.0,6,16601,6,0,0.0,-1.2413664,-2.7539012,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,287,81,6,Puffin,1996.0,1.0,81.0,465,222137,81,0,0.07407407407407407,-7.0750113,0.3886903,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Westing Game,Ellen Raskin,4.02,182,142121,8782,Puffin,2004.0,1.0,142121.0,142121,222137,142121,0,0.06179241632130368,-1.4462823,-3.031042,0.0,0.0,1.2920192,6.6981792,0.0,0.0,0,0,1,0,0,0,0
Charlie and the Chocolate Factory (Abridged),Roald Dahl,3.86,40,12,2,Puffin,2005.0,2.0,558811.0,1818931,222137,50917,0,0.16666666666666666,-1.9529823,-1.8592658,-21.190117,16.98993,0.4190123,16.857319,-22.717382,26.691158,0,1,0,0,0,0,0
The Enormous Crocodile,Roald Dahl,3.78,32,13986,525,Puffin,2003.0,1.0,13986.0,1818931,222137,50917,0,0.03753753753753754,-1.757013,-1.984546,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Going Solo (Roald Dahl's Autobiography  #2),Roald Dahl,4.08,209,17327,992,Puffin,2001.0,1.0,17327.0,1818931,222137,50917,1,0.05725168811681191,-6.8259263,-7.055513,-18.224796,15.238187,-16.00019,7.7734723,3.7810073,-9.391783,0,0,1,0,0,0,0
The Giraffe and the Pelly and Me,Roald Dahl,3.82,32,17232,713,Puffin,2001.0,1.0,17232.0,1818931,222137,50917,0,0.04137650882079851,-1.7131264,-1.9868263,-18.168453,15.287603,-18.442728,7.290992,-22.344608,26.813896,0,0,1,0,0,0,0
A Redwall Winter's Tale,Brian Jacques,4.13,72,2353,43,Puffin,2004.0,1.0,2353.0,169836,222137,2353,0,0.01827454313642159,-1.4240737,-1.3779846,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
A Robin McKinley Collection: Spindle's End  The Hero and the Crown and The Blue Sword (Folktales #1-3),Robin McKinley,4.39,1008,527,12,Puffin,2002.0,1.0,527.0,152107,222137,527,1,0.022770398481973434,-0.7710194,-2.5640054,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Mr. Majeika and the School Trip,Humphrey Carpenter,3.85,89,50,2,Puffin,1999.0,1.0,50.0,9107,222137,50,0,0.04,-0.010334684,-2.9716527,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Terry Jones' Fairy Tales,Terry Jones,4.25,160,182,19,Puffin,1993.0,1.0,182.0,11807,222137,182,0,0.1043956043956044,-0.9030078,-1.7933922,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
James and the Giant Peach,Roald Dahl,4.01,160,1251,91,Puffin,1998.0,4.0,331081.0,1818931,222137,50917,0,0.07274180655475619,-0.8563566,-2.216375,0.0,0.0,0.0,0.0,-5.0657463,18.971668,0,0,1,0,0,0,0
James & The Giant Peach (Disney's),Roald Dahl,4.03,48,1073,32,Puffin,1996.0,4.0,331081.0,1818931,222137,50917,0,0.02982292637465051,-0.8563566,-2.216375,0.0,0.0,0.0,0.0,-5.0657463,18.971668,0,0,1,0,0,0,0
Oliver and Albert  Friends Forever (Easy-to-Read  Puffin),Jean Van Leeuwen,3.61,48,23,2,Puffin,2002.0,1.0,23.0,885,222137,23,0,0.08695652173913043,-1.6161602,-2.289729,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Seventeen and In-Between,Barthe DeClements,3.81,176,227,8,Puffin,1993.0,1.0,227.0,237,222137,237,0,0.03524229074889868,-1.902891,-2.4006946,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
How Do You Lose Those Ninth-grade Blues?,Barthe DeClements,3.74,144,10,1,Puffin,1993.0,1.0,10.0,237,222137,237,0,0.1,-1.7699509,-2.8326337,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Dreadful Future of Blossom Culp (Blossom Culp  #3),Richard Peck,3.78,192,561,37,Puffin,2001.0,1.0,561.0,56845,222137,561,1,0.0659536541889483,-0.97409934,-2.4320922,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Astrid Lindgren: Storyteller to the World,Johanna Hurwitz,3.69,64,10,2,Puffin,1991.0,1.0,10.0,162,222137,10,0,0.2,-6.6352267,-5.6838536,-21.558413,15.4456415,0.0,0.0,3.180151,-8.912122,0,0,1,0,0,0,0
The Adventures of Charlie and Mr. Willy Wonka: A Fully Dramatized Recording,Roald Dahl,4.13,4,11,2,Puffin,2004.0,1.0,11.0,1818931,222137,50917,0,0.18181818181818182,-1.80264,-1.879513,-20.927916,17.864037,-19.028522,7.476433,0.0,0.0,1,0,0,0,0,0,0
Fantastic Mr Fox and Other Animal Stories,Roald Dahl,3.95,4,25,1,Puffin,2004.0,1.0,25.0,1818931,222137,50917,0,0.04,-1.4503169,-1.5140023,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Five Children and It (Five Children #1),E. Nesbit,3.88,237,18723,722,Puffin,1996.0,2.0,18786.0,25315,222137,25075,1,0.03856219622923677,-1.165129,-2.3835995,0.0,0.0,2.1962752,14.361483,-19.427652,30.133629,0,0,1,0,0,0,0
The Enchanted Castle,E. Nesbit,3.85,291,6352,397,Puffin,1994.0,1.0,6352.0,25315,222137,25075,0,0.0625,-0.83870804,-2.5242622,0.0,0.0,2.5882146,14.282557,-19.423548,30.143246,0,0,1,0,0,0,0
Henry Miller on Writing,Henry Miller,4.22,217,981,52,New Directions Publishing,1964.0,1.0,981.0,86914,13688,981,0,0.053007135575942915,-6.375408,-3.3604977,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Quiet Days in Clichy,Henry Miller,3.69,154,3381,141,Grove Press,1994.0,1.0,3381.0,86914,653726,82525,0,0.0417036379769299,-3.4566603,-4.67746,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Tropic of Cancer,Henry Miller,3.68,318,53206,2376,Grove Press,1994.0,1.0,53206.0,86914,653726,82525,0,0.04465661767469834,-1.17888,-4.4908743,6.534568,11.08903,-2.6885915,-5.2885604,-21.276127,28.148085,0,0,1,0,0,0,0
Tropic of Capricorn,Henry Miller,3.78,348,14872,459,Grove Press,1994.0,1.0,14872.0,86914,653726,82525,0,0.03086336740182894,-3.6115806,-4.2848635,0.0,0.0,-0.17137058,16.274763,9.720046,4.1645103,0,0,1,0,0,0,0
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,316,3261,58,Grove Press,1994.0,1.0,3261.0,86914,653726,82525,1,0.01778595522845753,-3.126897,-4.9717174,0.0,0.0,-24.767159,6.368207,0.0,0.0,0,0,1,0,0,0,0
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,506,7805,251,Grove Press,1994.0,1.0,7805.0,86914,653726,82525,1,0.03215887251761691,-3.3914425,-4.992649,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Reservation Blues,Sherman Alexie,3.98,306,11163,772,Grove Press,2005.0,1.0,11163.0,11163,653726,11163,0,0.06915703663889636,-1.853812,-4.5531287,0.0,0.0,-20.301708,7.066702,0.0,0.0,0,0,1,0,0,0,0
Four Blondes,Candace Bushnell,2.82,256,23409,877,Grove Press,2001.0,1.0,23409.0,61345,653726,23409,0,0.0374642231620317,-1.7900896,-4.586839,-23.394255,13.683311,17.337257,-17.199188,0.0,0.0,0,0,1,0,0,0,0
Naked Lunch,William S. Burroughs,3.46,289,65998,2497,Grove Press,2004.0,2.0,66507.0,140395,653726,77898,0,0.0378344798327222,-3.5518832,-4.32502,-23.510353,13.79944,0.7784045,-6.664867,-16.459335,30.509327,0,0,1,0,0,0,0
Cold Mountain,Charles Frazier,3.86,356,208001,4972,Grove Press,2006.0,1.0,208001.0,219623,653726,208001,0,0.023903731232061385,-4.349877,-5.562537,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
This Boy's Life,Tobias Wolff,3.98,304,22828,1304,Grove Press,2000.0,1.0,22828.0,34225,653726,22828,0,0.05712283161030313,-6.8848567,-6.366329,-22.510977,14.428348,0.0,0.0,3.6542997,-10.10891,0,0,1,0,0,0,0
The Labyrinth of Solitude and Other Writings,Octavio Paz,4.14,398,5170,154,Grove Press,1994.0,1.0,5170.0,9085,653726,5170,0,0.029787234042553193,-7.0704236,-4.284226,-20.56197,16.546093,0.75616074,-6.71879,0.0,0.0,0,0,1,0,0,0,0
The Bald Soprano and Other Plays,Eugène Ionesco,4.04,160,5524,106,Grove Press,1994.0,1.0,5524.0,12097,653726,5699,0,0.019188993482983346,-6.939751,-8.290178,-22.53816,14.329657,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Three Plays: Exit the King / The Killer / Macbett,Eugène Ionesco,4.11,105,175,9,Grove Press,1994.0,1.0,175.0,12097,653726,5699,0,0.05142857142857143,-7.0246916,-8.414567,-22.3457,14.18237,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Please Kill Me: The Uncensored Oral History of Punk,Legs McNeil,4.16,452,25094,937,Grove Press,2006.0,1.0,25094.0,25094,653726,25094,0,0.03733960309237268,-7.866675,-2.3439817,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Edie,Jean Stein,4.14,564,4639,227,Grove Press,1994.0,1.0,4639.0,4639,653726,4639,0,0.04893295968958827,-6.097342,-6.3641176,-20.15144,15.232111,-23.943718,6.5460753,0.0,0.0,0,0,1,0,0,0,0
The Passion,Jeanette Winterson,4.11,176,15572,1008,Grove Press,1997.0,1.0,15572.0,68637,653726,28256,0,0.06473156948368868,-1.6890748,-6.20014,0.0,0.0,-0.2472325,-12.683551,23.161703,-5.888018,0,0,1,0,0,0,0
Sexing the Cherry,Jeanette Winterson,3.81,167,12684,627,Grove Press,1998.0,1.0,12684.0,68637,653726,28256,0,0.04943235572374645,-0.28880998,-3.2037778,0.0,0.0,-1.3651568,21.531956,-17.119234,29.973034,0,0,1,0,0,0,0
Cosmos and Pornografia: Two Novels,Witold Gombrowicz,4.12,362,241,25,Grove Press,1994.0,1.0,241.0,10821,653726,241,0,0.1037344398340249,-5.1518426,-3.7927883,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The House of Morgan: An American Banking Dynasty and the Rise of Modern Finance,Ron Chernow,4.07,812,5110,281,Grove Press,2001.0,1.0,5110.0,118180,653726,5110,0,0.05499021526418787,-6.3187547,-5.003748,-22.770245,13.387615,-24.183756,6.7924094,0.0,0.0,0,0,1,0,0,0,0
Empire of the Senseless,Kathy Acker,3.49,240,1487,78,Grove Press,1994.0,1.0,1487.0,2227,653726,2227,0,0.05245460659045057,0.18142475,-6.913562,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Great Expectations,Kathy Acker,3.59,128,740,38,Grove Press,1994.0,1.0,740.0,2227,653726,2227,0,0.051351351351351354,-0.43489933,-6.4985256,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Rock 'n' Roll,Tom Stoppard,3.71,144,951,60,Grove Press,2007.0,1.0,951.0,79447,653726,75196,0,0.06309148264984227,-6.748857,-8.24938,0.0,0.0,-18.461443,8.156226,-22.027056,26.669683,0,0,1,0,0,0,0
Every Good Boy Deserves Favor & Professional Foul,Tom Stoppard,3.9,188,190,10,Grove Press,1994.0,1.0,190.0,79447,653726,75196,0,0.05263157894736842,-5.9489975,-2.478457,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
Lord Malquist and Mr. Moon,Tom Stoppard,3.41,200,192,23,Grove Press,2006.0,1.0,192.0,79447,653726,75196,0,0.11979166666666667,-3.2040057,-4.657607,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Eternal Frontier: An Ecological History of North America and Its Peoples,Tim Flannery,4.06,432,588,69,Grove Press,2002.0,1.0,588.0,588,653726,588,0,0.11734693877551021,-8.108293,-6.0144835,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Rosencrantz and Guildenstern Are Dead,Tom Stoppard,4.06,126,73863,1618,Grove Press,1994.0,1.0,73863.0,79447,653726,75196,0,0.02190541949284486,-2.8254523,-3.3288429,-14.350293,15.825089,0.0,0.0,2.9571157,-10.049026,0,0,1,0,0,0,0
Practicalities,Marguerite Duras,3.98,143,226,19,Grove Press,1993.0,1.0,226.0,7590,653726,515,0,0.084070796460177,-5.172275,-3.836404,-23.963072,13.329998,0.0,0.0,2.7178857,-9.981714,0,0,1,0,0,0,0
India Song,Marguerite Duras,3.57,146,289,9,Grove Press,1994.0,1.0,289.0,7590,653726,515,0,0.031141868512110725,-7.0402813,-8.573188,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
On Love,Alain de Botton,3.98,194,11297,853,Grove Press,2006.0,1.0,11297.0,51715,653726,11297,0,0.07550677170930335,-1.561762,-5.36862,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Wild Boys,William S. Burroughs,3.6,193,2977,124,Grove Press,1994.0,1.0,2977.0,140395,653726,77898,0,0.04165267047363117,-3.3174248,-4.6310234,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Nova Express (The Nova Trilogy  #3),William S. Burroughs,3.67,192,2541,70,Grove Press,1994.0,1.0,2541.0,140395,653726,77898,1,0.027548209366391185,1.810847,-2.9261594,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Last Words: The Final Journals,William S. Burroughs,3.98,273,490,20,Grove Press,2001.0,1.0,490.0,140395,653726,77898,0,0.04081632653061224,-6.803987,-6.4087186,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Soft Machine (The Nova Trilogy #1),William S. Burroughs,3.35,184,5892,204,Grove Press,1994.0,1.0,5892.0,140395,653726,77898,1,0.034623217922606926,-3.0296013,-4.2982993,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
A Personal Matter,Kenzaburō Ōe,3.89,165,7081,543,Grove Press,1994.0,1.0,7081.0,7407,653726,7081,0,0.0766840841689027,-0.24249199,-6.654619,0.0,0.0,-17.08975,18.953485,0.0,0.0,0,0,1,0,0,0,0
The Gospel According to Luke,Anonymous,4.64,81,169,17,Grove Press,1999.0,1.0,169.0,65506,653726,169,0,0.10059171597633136,-10.409395,-4.1674557,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Charlie Wilson's War: The Extraordinary Story of How the Wildest Man in Congress and a Rogue CIA Agent Changed the History of our Times,George Crile,4.01,560,6049,648,Grove Press,2004.0,3.0,6077.0,6077,653726,6049,0,0.10712514465200859,-6.013057,-4.879377,-23.207115,15.406617,-18.609484,6.041818,-21.937843,25.842047,0,0,1,0,0,0,0
Pedro Páramo,Juan Rulfo,4.05,128,28102,1511,Grove Press,1994.0,2.0,28108.0,35929,653726,28102,0,0.053768415059426374,-2.8230743,-4.547773,-22.103218,15.66292,0.75117713,-6.721132,0.0,0.0,0,0,1,0,0,0,0
